image_name,mask_type,wsmse_tag,swhdc_tag,erp_upsampling_tag,erp_phi_ref,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,full,0,0,0,30.0,0.0001,39.02613512607541,1.429331660270691,749381.4375,39.02365021997348,1.4303061962127686,749892.375,0.021574020385742188,11311.0,0.008449554443359375,4430.0,0.012220382690429688,6407.0,0.0,0,1.4518802165985107,761203.375,1000,1000
othim04,full,0,0,0,30.0,0.0001,37.535055841010774,2.565922975540161,1345282.625,37.532001299716434,2.566380023956299,1345522.25,0.022563934326171875,11830.0,0.009412765502929688,4935.0,0.011987686157226562,6285.0,0.0,0,2.5889439582824707,1357352.25,1000,1000
othim07,full,0,0,0,30.0,0.0001,39.55669893595557,1.0526764392852783,551905.625,39.55204287036513,1.0530565977096558,552104.9375,0.022434234619140625,11762.0,0.009429931640625,4944.0,0.011959075927734375,6270.0,0.0,0,1.0754908323287964,563866.9375,1000,1000
othim10,full,0,0,0,30.0,0.0001,39.45460717022561,1.4766724109649658,774201.625,39.45184487453116,1.4773242473602295,774543.375,0.022327423095703125,11706.0,0.00960540771484375,5036.0,0.011556625366210938,6059.0,0.0,0,1.4996516704559326,786249.375,1000,1000
othim13,full,0,0,0,30.0,0.0001,40.25206781081821,1.1303696632385254,592639.25,40.24906237320227,1.1313936710357666,593176.125,0.020315170288085938,10651.0,0.008451461791992188,4431.0,0.010824203491210938,5675.0,0.0,0,1.1517088413238525,603827.125,1000,1000
othim01,full,1,0,0,30.0,0.00406,29.80217276723887,0.2238871455192566,117381.34375,29.778528551034725,0.22463232278823853,117772.03125,0.01848602294921875,9692.0,0.007671356201171875,4022.0,0.010107040405273438,5299.0,0.0,0,0.24311834573745728,127464.03125,1000,1000
othim04,full,1,0,0,30.0,0.00406,27.666306569777248,0.4796288311481476,251463.640625,27.664481487814445,0.48077845573425293,252066.375,0.018642425537109375,9774.0,0.0076122283935546875,3991.0,0.009950637817382812,5217.0,0.0,0,0.4994208812713623,261840.375,1000,1000
othim07,full,1,0,0,30.0,0.00406,31.411833895494425,0.20352646708488464,106706.484375,31.372995805348506,0.20388975739479065,106896.953125,0.018266677856445312,9577.0,0.008640289306640625,4530.0,0.008668899536132812,4545.0,0.0,0,0.22215643525123596,116473.953125,1000,1000
othim10,full,1,0,0,30.0,0.00406,29.875232749775346,0.17861558496952057,93646.0078125,29.857613803292747,0.17989100515842438,94314.6953125,0.018156051635742188,9519.0,0.0075836181640625,3976.0,0.009588241577148438,5027.0,0.0,0,0.19804705679416656,103833.6953125,1000,1000
othim13,full,1,0,0,30.0,0.00406,31.383534027304776,0.18289153277873993,95887.8359375,31.37164293933385,0.1834542453289032,96182.859375,0.017459869384765625,9154.0,0.007724761962890625,4050.0,0.008768081665039062,4597.0,0.0,0,0.20091411471366882,105336.859375,1000,1000
