image_name,mask_type,wsmse_tag,loss_type,lambda_dist,lambda_percep,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim27,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,37.64518139635629,4.185793399810791,2194561.25,37.62747204440826,0.9859112501144409,4.188990592956543,2196237.5,0.022924423217773438,12019.0,0.00948333740234375,4972.0,0.0124053955078125,6504.0,0.0,0,4.211915016174316,2208256.5,5000,1000
othim28,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,42.83587729396421,3.8102598190307617,1997673.5,42.76638732433412,0.997063398361206,3.8118906021118164,1998528.5,0.023895263671875,12528.0,0.00940704345703125,4932.0,0.013429641723632812,7041.0,0.0,0,3.8357858657836914,2011056.5,5000,1000
othim29,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,43.7257743601351,3.761417865753174,1972066.25,43.7144963738686,0.9968675971031189,3.761960983276367,1972351.0,0.02386474609375,12512.0,0.009485244750976562,4973.0,0.013416290283203125,7034.0,0.0,0,3.785825729370117,1984863.0,5000,1000
othim30,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,41.8548013750514,3.784926414489746,1984391.5,41.80523677089119,0.9967746734619141,3.7865023612976074,1985217.75,0.02379608154296875,12476.0,0.0094451904296875,4952.0,0.013383865356445312,7017.0,0.0,0,3.810298442840576,1997693.75,5000,1000
othim01,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,41.920899139908016,3.860734462738037,2024136.75,41.75362833362292,0.9917988777160645,3.863677740097046,2025679.875,0.022901535034179688,12007.0,0.009511947631835938,4987.0,0.012481689453125,6544.0,0.0,0,3.8865792751312256,2037686.875,5000,1000
othim02,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,42.05683185552155,3.9179346561431885,2054126.125,41.908941628931814,0.9918670654296875,3.9192540645599365,2054817.875,0.022619247436523438,11859.0,0.009258270263671875,4854.0,0.012449264526367188,6527.0,0.0,0,3.94187331199646,2066676.875,5000,1000
othim03,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,41.50299909273441,3.8916611671447754,2040351.25,41.44715671041414,0.9917200803756714,3.8932080268859863,2041162.25,0.024003982543945312,12585.0,0.009336471557617188,4895.0,0.013727188110351562,7197.0,0.0,0,3.9172120094299316,2053747.25,5000,1000
othim04,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,41.60628089794445,4.141820907592773,2171507.0,41.60395319935239,0.996722936630249,4.142993450164795,2172121.75,0.023563385009765625,12354.0,0.00926971435546875,4860.0,0.013484954833984375,7070.0,0.0,0,4.1665568351745605,2184475.75,5000,1000
othim05,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,42.17414706595992,3.952106475830078,2072042.0,42.15504734650576,0.9971196055412292,3.954253911972046,2073167.875,0.024915695190429688,13063.0,0.009401321411132812,4929.0,0.014451980590820312,7577.0,0.0,0,3.9791696071624756,2086230.875,5000,1000
othim06,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,42.56714739305277,3.9450013637542725,2068316.875,42.466517631298544,0.9970777034759521,3.9469547271728516,2069341.0,0.02390289306640625,12532.0,0.009349822998046875,4902.0,0.013334274291992188,6991.0,0.0,0,3.970857620239258,2081873.0,5000,1000
othim07,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,42.061732015194174,3.441128730773926,1804142.5,42.013444309835116,0.9929296374320984,3.4427475929260254,1804991.25,0.023862838745117188,12511.0,0.009288787841796875,4870.0,0.013652801513671875,7158.0,0.0,0,3.4666104316711426,1817502.25,5000,1000
othim08,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,42.47853325009182,3.4642279148101807,1816253.125,42.470972957931984,0.9932343363761902,3.4654407501220703,1816889.0,0.02526092529296875,13244.0,0.009403228759765625,4930.0,0.014801025390625,7760.0,0.0,0,3.490701675415039,1830133.0,5000,1000
othim09,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,43.291657174328414,3.503342628479004,1836760.5,43.20027007421521,0.9932911396026611,3.5042319297790527,1837226.75,0.022771835327148438,11939.0,0.009534835815429688,4999.0,0.012456893920898438,6531.0,0.0,0,3.527003765106201,1849165.75,5000,1000
othim10,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,44.00718670105075,3.6226956844329834,1899335.875,44.00814867813279,0.9948646426200867,3.6236190795898438,1899820.0,0.02402496337890625,12596.0,0.009372711181640625,4914.0,0.013463973999023438,7059.0,0.0,0,3.64764404296875,1912416.0,5000,1000
othim11,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,42.420725550901146,3.5598440170288086,1866383.5,42.3773295858797,0.994945228099823,3.5612239837646484,1867107.0,0.024288177490234375,12734.0,0.009416580200195312,4937.0,0.013671875,7168.0,0.0,0,3.585512161254883,1879841.0,5000,1000
othim12,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,43.50626687274438,3.648066282272339,1912637.375,43.49611811347902,0.9954349994659424,3.6501107215881348,1913709.25,0.025394439697265625,13314.0,0.009691238403320312,5081.0,0.014736175537109375,7726.0,0.0,0,3.6755051612854004,1927023.25,5000,1000
othim13,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,43.94346159961426,3.3159713745117188,1738524.0,43.91093102804894,0.9964298605918884,3.31685209274292,1738985.75,0.024084091186523438,12627.0,0.009462356567382812,4961.0,0.01357269287109375,7116.0,0.0,0,3.3409361839294434,1751612.75,5000,1000
othim14,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,43.804619731103145,3.236926555633545,1697081.75,43.67989207692046,0.9962201118469238,3.2378406524658203,1697561.0,0.022989273071289062,12053.0,0.009527206420898438,4995.0,0.012495040893554688,6551.0,0.0,0,3.2608299255371094,1709614.0,5000,1000
othim15,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,43.806970053789634,3.2604727745056152,1709426.75,43.713127186006,0.9960898160934448,3.261965751647949,1710209.5,0.023015975952148438,12067.0,0.009765625,5120.0,0.012296676635742188,6447.0,0.0,0,3.2849817276000977,1722276.5,5000,1000
othim16,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,43.4289936820812,3.07277250289917,1611017.75,43.35420663611793,0.9962698817253113,3.0747756958007812,1612068.0,0.022739410400390625,11922.0,0.0095367431640625,5000.0,0.012235641479492188,6415.0,0.0,0,3.097515106201172,1623990.0,5000,1000
othim17,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,44.13230772312718,3.1264820098876953,1639177.0,43.99393335616986,0.996465802192688,3.1275906562805176,1639758.25,0.022731781005859375,11918.0,0.009588241577148438,5027.0,0.012308120727539062,6453.0,0.0,0,3.150322437286377,1651676.25,5000,1000
othim18,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,44.66223982878339,3.038137197494507,1592858.875,44.50014803668066,0.9963146448135376,3.039097309112549,1593362.25,0.022674560546875,11888.0,0.009683609008789062,5077.0,0.012182235717773438,6387.0,0.0,0,3.061771869659424,1605250.25,5000,1000
othim19,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,41.71014036958401,3.845519542694092,2016159.75,41.67060090418852,0.9966615438461304,3.849249839782715,2018115.5,0.023645401000976562,12397.0,0.009439468383789062,4949.0,0.013410568237304688,7031.0,0.0,0,3.8728952407836914,2030512.5,5000,1000
othim20,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,42.50105742907634,3.860788106918335,2024164.875,42.41863268926815,0.996734082698822,3.86262845993042,2025129.75,0.023664474487304688,12407.0,0.009496688842773438,4979.0,0.013353347778320312,7001.0,0.0,0,3.8862929344177246,2037536.75,5000,1000
othim21,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,41.560518353541404,3.822272300720215,2003971.5,41.49318128646426,0.996498703956604,3.823050022125244,2004379.25,0.023834228515625,12496.0,0.00954437255859375,5004.0,0.01336669921875,7008.0,0.0,0,3.846884250640869,2016875.25,5000,1000
othim22,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,41.73010990425015,3.6023917198181152,1888690.75,41.70417212539177,0.9935179948806763,3.6053240299224854,1890228.125,0.023000717163085938,12059.0,0.009532928466796875,4998.0,0.012409210205078125,6506.0,0.0,0,3.6283247470855713,1902287.125,5000,1000
othim23,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,40.974202962743,3.457929849624634,1812951.125,40.955170983120915,0.9942119121551514,3.459510326385498,1813779.75,0.025112152099609375,13166.0,0.009508132934570312,4985.0,0.014532089233398438,7619.0,0.0,0,3.4846224784851074,1826945.75,5000,1000
othim24,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,40.33642556792299,3.7711737155914307,1977181.125,40.071808088284286,0.9924892783164978,3.7731173038482666,1978200.125,0.022724151611328125,11914.0,0.009626388549804688,5047.0,0.012170791625976562,6381.0,0.0,0,3.7958414554595947,1990114.125,5000,1000
othim25,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,36.56847263262153,4.051054954528809,2123919.5,36.52232091120451,0.986207902431488,4.0519795417785645,2124404.25,0.023433685302734375,12286.0,0.009340286254882812,4897.0,0.0132598876953125,6952.0,0.0,0,4.075413227081299,2136690.25,5000,1000
othim26,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,36.58249336139384,3.9256973266601562,2058196.0,36.58168128570489,0.9856392741203308,3.9276390075683594,2059214.0,0.024236679077148438,12707.0,0.009550094604492188,5007.0,0.013746261596679688,7207.0,0.0,0,3.951875686645508,2071921.0,5000,1000
othim27,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,37.98046040567691,3.9989523887634277,2096602.75,37.96196835116077,0.9857444167137146,4.000181674957275,2097247.25,0.023939132690429688,12551.0,0.009395599365234375,4926.0,0.013616561889648438,7139.0,0.0,0,4.024120807647705,2109798.25,5000,1000
othim28,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,43.03064761211684,3.608262538909912,1891768.75,42.94764117305338,0.9970833659172058,3.6100401878356934,1892700.75,0.021791458129882812,11425.0,0.00847625732421875,4444.0,0.0125274658203125,6568.0,0.0,0,3.631831645965576,1904125.75,5000,1000
othim29,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,43.44901044124557,3.6051063537597656,1890114.0,43.400637259764544,0.996717631816864,3.6058032512664795,1890479.375,0.023630142211914062,12389.0,0.009447097778320312,4953.0,0.013208389282226562,6925.0,0.0,0,3.6294333934783936,1902868.375,5000,1000
othim30,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0008,41.5517228535174,3.5993165969848633,1887078.5,41.48171323745391,0.9965428709983826,3.6003637313842773,1887627.5,0.022935867309570312,12025.0,0.009677886962890625,5074.0,0.012414932250976562,6509.0,0.0,0,3.6232995986938477,1899652.5,5000,1000
